,feature,icc_value,c_down,c_up,sequence
288,log-sigma-2-0-mm-3D_glcm_JointAverage,1.0,1.0,1.0,dce
289,log-sigma-2-0-mm-3D_glcm_SumEntropy,1.0,1.0,1.0,adc
290,log-sigma-2-0-mm-3D_glcm_SumSquares,0.99,0.99,1.0,adc
291,log-sigma-2-0-mm-3D_glcm_JointEnergy,1.0,1.0,1.0,dce
292,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,1.0,0.99,1.0,adc
293,log-sigma-2-0-mm-3D_glcm_JointEntropy,1.0,1.0,1.0,dce
294,log-sigma-2-0-mm-3D_glcm_MCC,1.0,1.0,1.0,dce
295,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,adc
296,log-sigma-2-0-mm-3D_glcm_MaximumProbability,1.0,1.0,1.0,dce
297,log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,0.99,0.98,1.0,adc
298,log-sigma-2-0-mm-3D_glcm_SumAverage,1.0,1.0,1.0,dce
299,log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,1.0,0.99,1.0,adc
300,log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,1.0,1.0,1.0,adc
301,log-sigma-2-0-mm-3D_glcm_SumEntropy,1.0,1.0,1.0,dce
302,log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,1.0,0.99,1.0,adc
303,log-sigma-2-0-mm-3D_glcm_SumSquares,1.0,1.0,1.0,dce
304,log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,1.0,0.99,1.0,adc
305,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,1.0,1.0,1.0,dce
306,log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,1.0,0.99,1.0,adc
307,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,dce
308,log-sigma-2-0-mm-3D_glrlm_RunEntropy,0.99,0.98,1.0,adc
309,log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,1.0,1.0,1.0,dce
310,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,0.99,0.99,1.0,adc
311,log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,1.0,1.0,1.0,dce
312,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,1.0,1.0,1.0,adc
313,log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,1.0,1.0,1.0,dce
314,log-sigma-2-0-mm-3D_glrlm_RunPercentage,1.0,1.0,1.0,adc
315,log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,1.0,1.0,1.0,dce
316,log-sigma-2-0-mm-3D_glrlm_RunVariance,1.0,1.0,1.0,adc
317,log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,1.0,1.0,1.0,dce
318,log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,1.0,1.0,1.0,dce
319,log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis,1.0,1.0,1.0,adc
320,log-sigma-2-0-mm-3D_glrlm_RunEntropy,1.0,1.0,1.0,dce
321,log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,1.0,0.99,1.0,adc
322,log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,1.0,0.99,1.0,adc
323,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,1.0,0.99,1.0,dce
324,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.99,0.99,1.0,adc
325,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,1.0,1.0,1.0,dce
326,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.99,0.98,1.0,adc
327,log-sigma-2-0-mm-3D_glrlm_RunPercentage,1.0,1.0,1.0,dce
328,log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.98,0.96,0.99,adc
329,log-sigma-2-0-mm-3D_glrlm_RunVariance,1.0,1.0,1.0,dce
330,log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,1.0,0.99,1.0,adc
331,log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,1.0,1.0,1.0,adc
332,log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis,1.0,1.0,1.0,dce
333,log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,1.0,0.99,1.0,adc
334,log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,1.0,1.0,1.0,dce
335,log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,1.0,1.0,1.0,adc
336,log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,1.0,1.0,1.0,dce
337,log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.99,0.99,1.0,adc
338,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,1.0,1.0,1.0,dce
339,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.99,0.98,1.0,adc
340,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,dce
341,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.98,0.96,0.99,adc
342,log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,1.0,1.0,1.0,dce
343,log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.98,0.97,0.99,adc
344,log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.99,0.99,1.0,adc
345,log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,1.0,1.0,1.0,dce
346,log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,1.0,0.99,1.0,dce
347,log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.99,0.98,1.0,adc
348,log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.99,0.99,1.0,dce
349,log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.99,0.98,0.99,adc
350,log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,1.0,0.99,1.0,dce
351,log-sigma-2-0-mm-3D_glszm_ZonePercentage,1.0,1.0,1.0,adc
352,log-sigma-2-0-mm-3D_glszm_ZoneVariance,1.0,1.0,1.0,adc
353,log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,1.0,1.0,1.0,dce
354,log-sigma-2-0-mm-3D_ngtdm_Busyness,0.99,0.98,1.0,adc
355,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,1.0,1.0,1.0,dce
356,log-sigma-2-0-mm-3D_ngtdm_Coarseness,0.99,0.99,1.0,adc
