,feature,icc_value,c_down,c_up,sequence
319,log-sigma-2-0-mm-3D_glrlm_RunEntropy,1.0,0.99,1.0,dce
320,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,1.0,0.99,1.0,dce
321,log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis,1.0,0.99,1.0,adc
322,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,1.0,1.0,1.0,dce
323,log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.93,0.87,0.97,adc
324,log-sigma-2-0-mm-3D_glrlm_RunPercentage,1.0,1.0,1.0,dce
325,log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.74,0.6,0.88,adc
326,log-sigma-2-0-mm-3D_glrlm_RunVariance,1.0,0.99,1.0,dce
327,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,1.0,0.99,1.0,adc
328,log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis,1.0,1.0,1.0,dce
329,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.97,0.95,0.99,adc
330,log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.57,0.39,0.77,dce
331,log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.95,0.91,0.98,adc
332,log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.91,0.84,0.96,dce
333,log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.93,0.87,0.97,adc
334,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.99,0.98,1.0,dce
335,log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,1.0,0.99,1.0,adc
336,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.99,0.98,1.0,dce
337,log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.99,0.98,1.0,adc
